SNPName	SNPChr	SNPChrPos	ProbeName	ProbeChr	ProbeCenterChrPos	OverallZScore
cg15148078	19	3480513	ENSG00000095932	19	3477472	24.9832889
cg02280912	19	58400095	ENSG00000196724	19	58440006	24.9389119
cg27046052	15	23810652	ENSG00000179455	15	23841759	-24.7655315
cg04725166	1	7887223	ENSG00000049246	1	7874808	-24.741613
cg25178683	17	76976219	ENSG00000108679	17	76971755	-24.7072639
cg04904561	14	104394831	ENSG00000156414	14	104456901	24.6525833
cg02343823	5	150284419	ENSG00000145908	5	150279249	24.6154804
cg02725398	3	9988096	ENSG00000163703	3	9981301	24.592009
cg22331349	19	52391302	ENSG00000161551	19	52376629	24.5425141
cg06615754	19	58193071	ENSG00000179909	19	58214657	24.5191309
cg08280368	14	71110536	ENSG00000133985	14	71125290	-24.2566558
cg12488111	14	105945699	ENSG00000182809	14	105942899	-24.2254725
cg09547119	19	52391367	ENSG00000161551	19	52376629	24.2006545
cg14870271	17	76976010	ENSG00000108679	17	76971755	24.046806
cg03562414	19	52391078	ENSG00000161551	19	52376629	23.9614446
cg18110333	6	292329	ENSG00000112679	6	321726	23.8797658
cg01516881	6	292548	ENSG00000112679	6	321726	23.8161757
cg01072786	2	220107847	ENSG00000163521	2	220105764	23.7911659
cg27112264	19	58400456	ENSG00000196724	19	58440006	-23.7060119
cg23809645	2	25383803	ENSG00000115138	2	25387747	23.6342946
cg26326372	14	105946393	ENSG00000182809	14	105942899	23.5469321
cg26116937	10	531152	ENSG00000151240	10	527906	-23.4376263
cg03395511	6	291855	ENSG00000112679	6	321726	23.3814832
cg10270150	6	297974	ENSG00000112679	6	321726	-23.3554305
cg10635122	19	52391090	ENSG00000161551	19	52376629	23.3411154
cg21684411	6	31431525	ENSG00000206337	6	31406881	23.3320763
cg00219169	10	530951	ENSG00000151240	10	527906	-23.275007
cg08580836	5	150284448	ENSG00000145908	5	150279249	23.2223306
cg26312951	21	42797799	ENSG00000157601	21	42811686	-23.1144031
cg09955645	10	531098	ENSG00000151240	10	527906	-23.0281728
cg21790626	19	58220494	ENSG00000179909	19	58214657	23.005267
cg04675542	5	150284416	ENSG00000145908	5	150279249	22.8694684
cg05661282	19	58220322	ENSG00000179909	19	58214657	22.8592837
cg18120979	6	313464	ENSG00000112679	6	321726	22.8570839
cg16977735	10	530666	ENSG00000151240	10	527906	-22.8196313
cg22933800	6	32605656	ENSG00000237541	6	32712055	-22.7818642
cg25843003	6	31431312	ENSG00000206337	6	31406881	22.7792311
cg03732535	3	49171051	ENSG00000172037	3	49164549	22.7494683
cg20314884	2	220108046	ENSG00000163521	2	220105764	22.699198
cg17836612	17	76976309	ENSG00000108679	17	76971755	-22.6852972
cg00590260	10	530805	ENSG00000151240	10	527906	-22.6766852
cg11269599	19	52391304	ENSG00000161551	19	52376629	22.5432382
cg06614206	4	53222	ENSG00000197701	4	70639	22.4448171
cg24129222	2	74643251	ENSG00000159239	2	74645011	-22.3523603
cg27568360	10	531272	ENSG00000151240	10	527906	-22.3153362
cg05064044	6	292385	ENSG00000112679	6	321726	22.2861555
cg23232773	6	31431902	ENSG00000206337	6	31406881	22.2850656
cg20619695	6	293331	ENSG00000112679	6	321726	22.2231847
cg01634544	14	71128099	ENSG00000133985	14	71125290	22.1971904
cg00219921	2	87012810	ENSG00000172116	2	87065754	21.8590257
cg18134411	6	312058	ENSG00000112679	6	321726	-21.8568029
cg02716646	2	25384293	ENSG00000115138	2	25387747	-21.8562157
cg18727948	4	53185	ENSG00000197701	4	70639	21.8460303
cg05408649	12	54446019	ENSG00000198353	12	54430264	-21.8368189
cg21808240	19	36822564	ENSG00000232677	19	36813294	-21.7945491
cg27421267	10	530836	ENSG00000151240	10	527906	-21.7405086
cg16112050	18	713152	ENSG00000132199	18	692609	-21.6645827
cg24214260	19	58193173	ENSG00000179909	19	58214657	-21.6584742
cg18997137	13	52419689	ENSG00000102796	13	52360211	-21.6430979
cg06878361	19	52390762	ENSG00000161551	19	52376629	21.6396093
cg11235426	6	292522	ENSG00000112679	6	321726	-21.4929651
cg21493516	12	54446033	ENSG00000198353	12	54430264	-21.4249936
cg01142302	3	9988590	ENSG00000163703	3	9981301	-21.3893374
cg17223846	19	3480315	ENSG00000095932	19	3477472	21.3612277
cg23978242	10	530635	ENSG00000151240	10	527906	-21.3101339
cg11998703	19	58446621	ENSG00000196724	19	58440006	21.2147563
cg26668828	6	292823	ENSG00000112679	6	321726	21.20107
cg09015566	4	53216	ENSG00000197701	4	70639	21.196849
cg22370252	12	54446289	ENSG00000198353	12	54430264	-21.1387767
cg12227172	19	52391363	ENSG00000161551	19	52376629	21.1334237
cg11202345	17	76976057	ENSG00000108679	17	76971755	-21.0771592
cg18749404	17	76975944	ENSG00000108679	17	76971755	-21.0687049
cg10783469	19	52391234	ENSG00000161551	19	52376629	21.0027448
cg04684267	19	58694454	ENSG00000196724	19	58440006	-20.9981238
cg06884495	14	104394573	ENSG00000156414	14	104456901	20.8255045
cg25732028	17	46619313	ENSG00000173917	17	46620848	-20.8207598
cg03607951	1	79085586	ENSG00000137959	1	79097045	-20.8198812
cg23010048	19	52391257	ENSG00000161551	19	52376629	20.7776594
cg19014419	5	150284456	ENSG00000145908	5	150279249	-20.711392
cg06675538	2	114033442	ENSG00000189223	2	113996843	20.600962
cg22151644	12	54443999	ENSG00000198353	12	54430264	-20.5923057
cg27138204	12	54446052	ENSG00000198353	12	54430264	-20.5097044
cg13719228	6	341315	ENSG00000112679	6	321726	20.4836587
cg22713958	17	76976197	ENSG00000108679	17	76971755	20.4794411
cg12258179	19	49232187	ENSG00000105538	19	49233911	-20.4685987
cg17091577	6	30854233	ENSG00000204580	6	30856065	20.4300729
cg00239353	16	3115133	ENSG00000008517	16	3123603	20.4259912
cg08607280	19	58693373	ENSG00000196724	19	58440006	-20.3814254
cg00994629	14	22694547	ENSG00000211829	14	22933351	20.3243882
cg00186701	8	98290462	ENSG00000180543	8	98287946	-20.1952808
cg24392955	12	54454277	ENSG00000198353	12	54430264	-20.0280225
cg20401567	17	46619555	ENSG00000173917	17	46620848	19.9060173
cg15244786	12	54446279	ENSG00000198353	12	54430264	-19.8970354
cg16550453	10	115938970	ENSG00000095627	10	115965546	-19.8659454
cg21549285	21	42799093	ENSG00000157601	21	42811686	19.8648212
cg00541956	19	58455018	ENSG00000196724	19	58440006	19.8525652
cg22862003	21	42797588	ENSG00000157601	21	42811686	-19.8194681
cg18237551	5	150284552	ENSG00000145908	5	150279249	19.7427714
cg16131766	15	23810232	ENSG00000179455	15	23841759	19.7357459
cg00078456	1	1564374	ENSG00000189339	1	1608553	19.6968129
cg11105610	17	76976304	ENSG00000108679	17	76971755	19.6503634
cg12746427	4	53314	ENSG00000197701	4	70639	-19.6443926
cg06872964	1	79085202	ENSG00000137959	1	79097045	19.6257726
cg26201952	12	54446205	ENSG00000198353	12	54430264	-19.6143785
cg21521779	5	150284466	ENSG00000145908	5	150279249	19.5844759
cg16731240	19	52391250	ENSG00000161551	19	52376629	19.5567559
cg21608225	1	144930524	ENSG00000178104	1	144956171	-19.5374492
cg25361961	19	58070048	ENSG00000179909	19	58214657	-19.5057785
cg20472384	10	531584	ENSG00000151240	10	527906	-19.4899321
cg05688348	4	53098	ENSG00000197701	4	70639	-19.4879475
cg17592461	6	29857512	ENSG00000204632	6	29796823	-19.436907
cg05992786	12	54446308	ENSG00000198353	12	54430264	-19.421918
cg03416628	12	54446505	ENSG00000198353	12	54430264	-19.381036
cg24848973	3	71775152	ENSG00000163412	3	71766182	-19.3171441
cg08712054	12	54446576	ENSG00000198353	12	54430264	-19.2523339
cg25243455	2	114033360	ENSG00000189223	2	113996843	-19.2451955
cg01082299	6	31431921	ENSG00000206337	6	31406881	-19.2425093
cg09246203	3	114018544	ENSG00000181847	3	114012447	19.2102073
cg06439603	10	531417	ENSG00000151240	10	527906	-19.2038581
cg14429526	10	531514	ENSG00000151240	10	527906	-19.1962713
cg14709901	20	29550802	ENSG00000149531	20	29622933	19.1908489
cg24566261	6	30854164	ENSG00000204580	6	30856065	-19.1596625
cg25712088	10	531521	ENSG00000151240	10	527906	-19.1399732
cg03146625	12	54448729	ENSG00000198353	12	54430264	-19.0852613
cg12427303	22	32599613	ENSG00000214076	22	32667232	19.0539667
cg06846259	2	25384606	ENSG00000115138	2	25387747	-18.9839662
cg26600802	10	115939067	ENSG00000095627	10	115965546	18.9780969
cg00032205	8	98290372	ENSG00000180543	8	98287946	-18.9494236
cg05642789	1	1564482	ENSG00000189339	1	1608553	18.9260508
cg12906381	22	32599516	ENSG00000214076	22	32667232	18.914392
cg07474494	19	58446600	ENSG00000196724	19	58440006	-18.8993891
cg26220725	6	296538	ENSG00000112679	6	321726	18.8976079
cg23853861	6	10720455	ENSG00000111843	6	10727255	-18.8329161
cg06419846	11	66083697	ENSG00000174807	11	66083236	-18.7895113
cg16096766	13	52419714	ENSG00000102796	13	52360211	-18.7767937
cg01124132	22	32599511	ENSG00000214076	22	32667232	18.768436
cg23430652	1	1565027	ENSG00000189339	1	1608553	18.7517074
cg05220114	19	58223645	ENSG00000179909	19	58214657	-18.722108
cg13651690	14	106320748	ENSG00000253364	14	106113113	-18.7185638
cg07007382	6	32578070	ENSG00000237541	6	32712055	-18.6269112
cg17326313	2	37383568	ENSG00000055332	2	37355280	18.6213756
cg26724967	16	3115175	ENSG00000008517	16	3123603	-18.6154939
cg16370398	12	54448913	ENSG00000198353	12	54430264	-18.5910305
cg19798735	7	110730805	ENSG00000173114	7	110748286	18.5636745
cg04647918	11	67383814	ENSG00000231793	11	67381926	18.5398203
cg18852096	1	1564377	ENSG00000189339	1	1608553	18.4826069
cg13405775	22	32599648	ENSG00000214076	22	32667232	18.3837828
cg13872950	17	46620460	ENSG00000173917	17	46620848	-18.3631533
cg23156509	2	114033782	ENSG00000189223	2	113996843	18.3357594
cg01419539	4	53010	ENSG00000197701	4	70639	18.2788404
cg18473521	12	54448265	ENSG00000198353	12	54430264	18.2623977
cg22505075	8	27737223	ENSG00000168079	8	27788821	18.2540631
cg17901584	1	55353706	ENSG00000116133	1	55334098	18.2226175
cg24929556	1	167454828	ENSG00000198821	1	167443862	18.2048635
cg23892836	6	29692085	ENSG00000204642	6	29698428	-18.1253319
cg15648389	12	54448769	ENSG00000198353	12	54430264	-18.070376
cg01848457	12	104697983	ENSG00000255150	12	104698248	18.0635664
cg14942906	11	67383992	ENSG00000231793	11	67381926	18.0513902
cg25975485	12	54446537	ENSG00000198353	12	54430264	-18.0371726
cg07187855	6	30854161	ENSG00000204580	6	30856065	17.9820798
cg22213242	11	66083525	ENSG00000174807	11	66083236	17.8046569
cg11335411	19	58694063	ENSG00000196724	19	58440006	17.7942909
cg00471190	16	3115761	ENSG00000008517	16	3123603	-17.7363273
cg00249621	8	98290311	ENSG00000180543	8	98287946	-17.7279782
cg10645648	6	32711617	ENSG00000237541	6	32712055	17.7212414
cg12961842	19	58446758	ENSG00000196724	19	58440006	17.7103712
cg06989610	12	54451877	ENSG00000198353	12	54430264	-17.6559116
cg26268701	6	29894689	ENSG00000204632	6	29796823	17.6342556
cg03427058	1	1565025	ENSG00000189339	1	1608553	17.6194557
cg13879417	1	149149417	ENSG00000253193	1	149349403	17.61816
cg25488284	2	242048127	ENSG00000115687	2	242067596	-17.6057762
cg26321999	6	30854011	ENSG00000204580	6	30856065	17.5917448
cg08978665	16	3115659	ENSG00000008517	16	3123603	-17.5729586
cg17545182	1	247693993	ENSG00000227135	1	247689017	17.5681068
cg15656686	6	30854551	ENSG00000204580	6	30856065	17.4947617
cg23197405	12	54451890	ENSG00000198353	12	54430264	-17.4555999
cg03179496	15	29212340	ENSG00000034053	15	29270073	-17.4298002
cg21780393	17	46618871	ENSG00000173917	17	46620848	-17.4013887
cg25939861	2	87020937	ENSG00000172116	2	87065754	17.397416
cg03292743	2	74642790	ENSG00000159239	2	74645011	-17.3406942
cg00646200	1	148855319	ENSG00000122497	1	148014752	-17.3131449
cg24413918	19	58516052	ENSG00000196724	19	58440006	-17.3048732
cg05952543	15	23810378	ENSG00000179455	15	23841759	17.2812654
cg23054584	19	36822263	ENSG00000232677	19	36813294	17.2566603
cg19007269	10	105420501	ENSG00000107957	10	105481793	-17.2173749
cg01997813	2	242710939	ENSG00000180902	2	242691112	-17.2027337
cg18857618	2	87048441	ENSG00000172116	2	87065754	-17.0480153
cg01840965	22	32601654	ENSG00000214076	22	32667232	-17.0446387
cg27168858	1	55351611	ENSG00000116133	1	55334098	-17.0397035
cg17280828	1	149284876	ENSG00000253193	1	149349403	17.0095593
cg08455772	12	54452021	ENSG00000198353	12	54430264	-16.9978518
cg23616531	17	44269258	ENSG00000266918	17	43610073	-16.905445
cg05987823	12	54428544	ENSG00000198353	12	54430264	-16.8666349
cg05701418	6	30131361	ENSG00000204632	6	29796823	16.8283273
cg13430807	1	149903315	ENSG00000014914	1	149904667	16.8216635
cg09965419	6	30854186	ENSG00000204580	6	30856065	16.7656899
cg07939626	6	30853073	ENSG00000204580	6	30856065	-16.7628581
cg11291313	5	150284482	ENSG00000145908	5	150279249	16.7423506
cg15331332	6	29692111	ENSG00000204642	6	29698428	-16.7341193
cg24012925	20	633370	ENSG00000172070	20	641851	16.7190824
cg10073091	1	55352253	ENSG00000116133	1	55334098	-16.7090317
cg02919082	6	32605694	ENSG00000223534	6	32628081	16.6988223
cg13529755	1	149138398	ENSG00000253193	1	149349403	16.6812083
cg00290607	11	67383497	ENSG00000231793	11	67381926	16.6648836
cg15747595	8	98289880	ENSG00000180543	8	98287946	-16.6403045
cg13930544	1	247694013	ENSG00000227135	1	247689017	-16.590822
cg13423383	9	139889616	ENSG00000169583	9	139890171	-16.5737006
cg17066531	6	36922415	ENSG00000164530	6	36927411	-16.5622281
cg07697276	4	53025	ENSG00000197701	4	70639	-16.5565687
cg01767544	14	106321067	ENSG00000253364	14	106113113	-16.5280498
cg03199745	12	54454445	ENSG00000198353	12	54430264	-16.5056515
cg22298860	6	29690822	ENSG00000204642	6	29698428	16.4891478
cg07685728	19	58280891	ENSG00000196724	19	58440006	-16.484237
cg04615859	17	7762123	ENSG00000182224	17	7763332	-16.4233741
cg03142586	19	58220080	ENSG00000179909	19	58214657	16.4082486
cg17122213	1	1564872	ENSG00000189339	1	1608553	16.4020763
cg11594833	12	54444937	ENSG00000198353	12	54430264	-16.4007209
cg02104434	1	247694358	ENSG00000227135	1	247689017	16.3610496
cg27305917	21	47396725	ENSG00000142156	21	47413307	16.3387279
cg25536676	1	55353279	ENSG00000116133	1	55334098	16.3293441
cg01946191	12	54444463	ENSG00000198353	12	54430264	-16.2976986
cg14334460	9	140346851	ENSG00000165802	9	140347904	-16.2759444
cg02639108	2	242710961	ENSG00000180902	2	242691112	-16.2360742
cg11617938	6	29692233	ENSG00000204642	6	29698428	16.2264522
cg02854922	1	144930916	ENSG00000178104	1	144956171	16.2213127
cg01411468	4	36283588	ENSG00000197057	4	36315311	16.2092824
cg07480090	6	29818182	ENSG00000204632	6	29796823	-16.1977651
cg13551269	19	19977733	ENSG00000256229	19	20294668	16.1918051
cg07033961	5	760203	ENSG00000206077	5	738771	-16.1813622
cg17718960	1	6063090	ENSG00000069424	1	6106389	16.1610651
cg11201654	6	29690718	ENSG00000204642	6	29698428	-16.1577472
cg04024827	12	54454115	ENSG00000198353	12	54430264	16.1509145
cg11746813	12	54448090	ENSG00000198353	12	54430264	-16.139751
cg12537337	6	26442290	ENSG00000111801	6	26447171	16.1248099
cg12296550	6	32728814	ENSG00000237541	6	32712055	16.1130592
cg26385085	4	53061	ENSG00000197701	4	70639	-16.1039978
cg07760796	15	23812334	ENSG00000179455	15	23841759	-16.1018323
cg19872068	17	44250686	ENSG00000266918	17	43610073	-16.0586802
cg24091438	7	150019907	ENSG00000127399	7	150027483	-16.0550652
cg09385632	17	62917279	ENSG00000265218	17	62897572	16.0519781
cg24143305	6	32604817	ENSG00000237541	6	32712055	-16.0140404
cg18221429	7	150020136	ENSG00000127399	7	150027483	-15.9442871
cg12633998	1	144928806	ENSG00000178104	1	144956171	-15.9178066
cg06975979	7	150019977	ENSG00000127399	7	150027483	-15.887554
cg11795276	12	54454204	ENSG00000198353	12	54430264	-15.8711574
cg22332722	18	25754809	ENSG00000170558	18	25644170	15.8659969
cg03202060	6	32633015	ENSG00000196126	6	32552085	15.8602124
cg07455933	5	760426	ENSG00000206077	5	738771	-15.8312415
cg00959259	3	122281975	ENSG00000138496	3	122265097	-15.8281508
cg11768167	6	29690841	ENSG00000204642	6	29698428	-15.8142836
cg03185704	7	150020125	ENSG00000127399	7	150027483	-15.7767373
cg10117077	1	111740297	ENSG00000162777	1	111738476	-15.7108529
cg19183166	7	150020108	ENSG00000127399	7	150027483	-15.7100585
cg15742245	19	43857717	ENSG00000204936	19	43862652	-15.5155316
cg10636246	1	159046973	ENSG00000163568	1	159074580	-15.5148179
cg20073893	14	22945457	ENSG00000211829	14	22933351	15.5004123
cg00567703	12	54413101	ENSG00000198353	12	54430264	-15.4926456
cg06368093	19	58513478	ENSG00000196724	19	58440006	-15.4479194
cg01405582	6	29692365	ENSG00000204642	6	29698428	-15.446906
cg00298065	19	58715529	ENSG00000196724	19	58440006	-15.4459898
cg18099096	4	23936716	ENSG00000109819	4	23831188	-15.423643
cg10651121	12	109549049	ENSG00000076555	12	109630215	-15.3939208
cg09315878	1	1152580	ENSG00000186827	1	1148112	-15.3766191
cg16305516	6	345932	ENSG00000112679	6	321726	15.3709461
cg26581729	9	139939792	ENSG00000107281	9	139937288	15.3665457
cg13354988	2	263656	ENSG00000035115	2	242064	15.3562841
cg14476101	1	120255944	ENSG00000092621	1	120244629	-15.3501414
cg21545857	2	242710824	ENSG00000180902	2	242691112	15.3432277
cg18770149	1	149903180	ENSG00000014914	1	149904667	15.3330325
cg17159161	6	31323760	ENSG00000206337	6	31406881	-15.3060966
cg23923934	6	31322914	ENSG00000206337	6	31406881	15.2911727
cg25087851	11	60623918	ENSG00000183134	11	60620928	15.2898458
cg08122652	3	122281891	ENSG00000173193	3	122424576	15.2469904
cg06862049	19	49001890	ENSG00000142235	19	49002487	-15.2350934
cg04450876	12	54866897	ENSG00000170627	12	54858560	15.2227978
cg05301188	2	10184409	ENSG00000260077	2	10180004	15.2201215
cg04471485	9	139889789	ENSG00000169583	9	139890171	15.2185884
cg06188083	10	91093005	ENSG00000185745	10	91158024	-15.2136083
cg19563619	4	1107211	ENSG00000178222	4	1078694	-15.1789028
cg07906263	6	30893085	ENSG00000204580	6	30856065	15.1407349
cg24699670	19	55660566	ENSG00000105048	19	55652442	-15.1110309
cg12121660	17	46621709	ENSG00000173917	17	46620848	15.095853
cg26651978	17	76965359	ENSG00000108679	17	76971755	-15.0726684
cg21397393	4	1107658	ENSG00000178222	4	1078694	-15.069458
cg17603132	11	8190152	ENSG00000166405	11	8159099	-15.0659282
cg18955367	19	49002338	ENSG00000142235	19	49002487	-15.0332667
cg19047660	17	46619923	ENSG00000173917	17	46620848	-15.0194042
cg01594685	16	3115005	ENSG00000008517	16	3123603	-15.0151434
cg10159529	3	3152530	ENSG00000091181	3	3139765	-15.0120788
cg24690094	11	67383754	ENSG00000231793	11	67381926	15.0049089
cg04227238	6	29893957	ENSG00000204632	6	29796823	-14.9567946
cg08158952	19	57183016	ENSG00000127903	19	57178585	-14.9522487
cg13797673	2	242051737	ENSG00000115687	2	242067596	-14.9499383
cg24460369	12	109549041	ENSG00000076555	12	109630215	-14.9444919
cg17830209	17	79006118	ENSG00000175866	17	79050090	14.9397543
cg27470213	17	76967647	ENSG00000108679	17	76971755	14.9293329
cg06484123	19	53107152	ENSG00000167766	19	53145531	-14.9231062
cg17749443	9	115819190	ENSG00000136866	9	115809849	-14.9159216
cg26777456	12	54454202	ENSG00000198353	12	54430264	-14.9140191
cg03570035	19	20278003	ENSG00000256229	19	20294668	14.9070839
cg26087117	19	53636229	ENSG00000170954	19	53623731	-14.8908288
cg18649823	19	55660543	ENSG00000105048	19	55652442	-14.8785403
cg21698879	6	32496278	ENSG00000196126	6	32552085	14.8743131
cg20853880	2	10184396	ENSG00000260077	2	10180004	-14.8721233
cg18350391	16	3115552	ENSG00000008517	16	3123603	-14.8624424
cg12259537	19	58514646	ENSG00000196724	19	58440006	14.850622
cg16210088	22	31318349	ENSG00000235989	22	31323365	-14.8387201
cg26280727	19	49000998	ENSG00000142235	19	49002487	-14.8366517
cg03382805	22	23905582	ENSG00000128218	22	24095792	14.8272201
cg02751453	18	77725088	ENSG00000226742	18	77727691	14.7917453
cg10734665	15	26107362	ENSG00000206190	15	26016368	14.7896799
cg03607220	6	32526263	ENSG00000237541	6	32712055	-14.7856497
cg02784823	19	49000897	ENSG00000142235	19	49002487	-14.7629766
cg13668618	19	58446745	ENSG00000196724	19	58440006	14.7624156
